Bokført	Rentedato	Tekstkode	Beskrivelse	Beløp	Arkivref.	Motkonto
03.09.2013	03.09.2013	IAVTG	Til: A/S FJELLINJEN Betalt: 02.09.13	-498,00	93420120	1503.25.40934
03.09.2013	03.09.2013	VARER	02.09 ICA Supermarked Linder OSLO	-272,44	17017880489	
03.09.2013	03.09.2013	VISA VARE	*8081 29.08 NOK 24.00 STORO STORSENTER Kurs: 1.0000	-24,00	50001685147	
02.09.2013	02.09.2013	VARER	31.08 ÅRVOLL POST I BUTIKK OSLO	-40,00	17017352727	
02.09.2013	02.09.2013	VISA VARE	*8081 28.08 NOK 20.00 PARK NORDIC AS Kurs: 1.0000	-20,00	50001685147	
02.09.2013	02.09.2013	VISA VARE	*8081 29.08 NOK 15.00 EUROPARK ONLINE Kurs: 1.0000	-15,00	50001685147	
02.09.2013	02.09.2013	VARER	31.08 SOM TAM THAI VOGTS GATE 6 OSLO	-623,00	17017032022	
02.09.2013	02.09.2013	OVERFØRT	Til: 6090.06.06888 Betalt: 01.09.13	-3380,00	89251430	6090.06.06888
02.09.2013	02.09.2013	VARER	31.08 REMA BJERKE TRONDHEIMSVE OSLO	-203,40	17017382582	
02.09.2013	02.09.2013	VARER	30.08 REMA BJERKE TRONDHEIMSVE OSLO	-585,33	17017039886	
02.09.2013	02.09.2013	VISA VARE	*8081 29.08 NOK 10.00 EUROPARK ONLINE Kurs: 1.0000	-10,00	50001685147	
31.08.2013	31.08.2013	GEBYR	MELDING - IKKJE UTFØRT OPPDRAG 1 TRANS(ER) TYPE 437 1	-1,00	90460000	
31.08.2013	30.08.2013	VARER	30.08 ICA Supermarked Linder OSLO	-311,80	17017579819	
31.08.2013	30.08.2013	VARER	30.08 171 BOOTS APOTEK LINDERUD	-371,10	17017500368	
31.08.2013	30.08.2013	VARER	30.08 LEGE DAG HAMMER ERICH MOGENS OSLO	-272,00	17017408858	
31.08.2013	30.08.2013	AVTGI	Viken Fibernett AS	-768,00	93420260	1503.14.83481
31.08.2013	30.08.2013	VARER	29.08 ICA Supermarked Linder OSLO	-105,56	17017948267	
29.08.2013	29.08.2013	VARER	28.08 ICA Supermarked Linder OSLO	-375,32	17017672514	
29.08.2013	30.08.2013	GEBYR	Årspris Visa Electron	-200,00	90360000	
29.08.2013	29.08.2013	VARER	29.08 NOA NOA - 3013 STORO STORCE OSLO	-149,00	17017990628	
29.08.2013	29.08.2013	VARER	28.08 171 BOOTS APOTEK LINDERUD	-1494,80	17017535984	
28.08.2013	28.08.2013	VARER	28.08 Matkroken Arvol l Oslo	-78,20	17017513255	
28.08.2013	28.08.2013	AVTGI	Gudbrandsdal Energi AS	-76,29	93420017	2095.19.81088
